   32      64  @   96  `  128  Ä  160  †  192  ¿  224  ‡
   33  !   65  A   97  a  129  Å  161  °  193  ¡  225  ·
   34  "   66  B   98  b  130  Ç  162  ¢  194  ¬  226  ‚
   35  #   67  C   99  c  131  É  163  £  195  √  227  „
   36  $   68  D  100  d  132  Ñ  164  §  196  ƒ  228  ‰
   37  %   69  E  101  e  133  Ö  165  •  197  ≈  229  Â
   38  &   70  F  102  f  134  Ü  166  ¶  198  ∆  230  Ê
   39  '   71  G  103  g  135  á  167  ß  199  «  231  Á
   40  (   72  H  104  h  136  à  168  ®  200  »  232  Ë
   41  )   73  I  105  i  137  â  169  ©  201  …  233  È
   42  *   74  J  106  j  138  ä  170  ™  202     234  Í
   43  +   75  K  107  k  139  ã  171  ´  203  À  235  Î
   44  ,   76  L  108  l  140  å  172  ¨  204  Ã  236  Ï
   45  -   77  M  109  m  141  ç  173  ≠  205  Õ  237  Ì
   46  .   78  N  110  n  142  é  174  Æ  206  Œ  238  Ó
   47  /   79  O  111  o  143  è  175  Ø  207  œ  239  Ô
   48  0   80  P  112  p  144  ê  176  ∞  208  –  240  
   49  1   81  Q  113  q  145  ë  177  ±  209  —  241  Ò
   50  2   82  R  114  r  146  í  178  ≤  210  “  242  Ú
   51  3   83  S  115  s  147  ì  179  ≥  211  ”  243  Û
   52  4   84  T  116  t  148  î  180  ¥  212  ‘  244  Ù
   53  5   85  U  117  u  149  ï  181  µ  213  ’  245  ı
   54  6   86  V  118  v  150  ñ  182  ∂  214  ÷  246  ˆ
   55  7   87  W  119  w  151  ó  183  ∑  215  ◊  247  ˜
   56  8   88  X  120  x  152  ò  184  ∏  216  ÿ  248  ¯
   57  9   89  Y  121  y  153  ô  185  π  217  Ÿ  249  ˘
   58  :   90  Z  122  z  154  ö  186  ∫  218  ⁄  250  ˙
   59  ;   91  [  123  {  155  õ  187  ª  219  €  251  ˚
   60  <   92  \  124  |  156  ú  188  º  220  ‹  252  ¸
   61  =   93  ]  125  }  157  ù  189  Ω  221  ›  253  ˝
   62  >   94  ^  126  ~  158  û  190  æ  222  ﬁ  254  ˛
   63  ?   95  _  127    159  ü  191  ø  223  ﬂ  255  ˇ
